MAGX,MAGY,MAGZ
-26.93,-15.6,298.78
-27.23,-15.46,299.28
-26.83,-15.46,299.38
-26.93,-15.46,298.48
-27.23,-14.96,297.68
-26.73,-15.36,298.68
-26.53,-15.56,299.87
-26.63,-15.46,298.88
-26.63,-15.46,298.58
-26.83,-15.56,298.48
-26.53,-15.56,299.57
-27.13,-15.36,299.57
-26.93,-15.66,299.18
-26.93,-15.56,298.88
-26.93,-15.66,299.77
-26.73,-15.26,298.48
-26.43,-15.66,298.78
-26.63,-15.46,299.8
-26.73,-15.26,299.48
-26.93,-15.66,299.28
-26.53,-15.76,299.38
-26.73,-15.56,298.88
-26.73,-15.36,299.67
-27.3,-15.46,300.47
-26.83,-15.56,299.8
-26.93,-15.66,299.67
-26.83,-15.46,299.97
-26.83,-15.26,299.97
-27.3,-15.36,299.87
-26.93,-15.86,300.37
-26.63,-15.26,299.77
-26.63,-15.36,299.8
-26.63,-15.76,299.28
-26.83,-15.56,299.18
-26.93,-15.86,298.18
-26.43,-15.36,299.28
-26.63,-15.56,299.38
-26.33,-15.66,298.38
-26.53,-15.96,299.8
-26.63,-15.46,298.58
-26.63,-15.56,298.18
-26.13,-15.66,298.78
-26.73,-15.46,299.57
-26.53,-15.36,299.48
-26.53,-15.36,298.68
-26.93,-15.86,299.67
-26.83,-15.66,299.38
-26.63,-15.46,298.98
-26.53,-15.66,300.47
-27.42,-15.6,299.18
-26.93,-15.56,299.8
-26.33,-16.16,298.78
-25.63,-17.55,298.28
-26.13,-18.25,298.8
-26.3,-18.35,297.58
-26.33,-18.45,296.98
-25.73,-18.85,297.58
-26.33,-18.35,296.98
-27.3,-18.25,297.38
-26.13,-17.85,297.78
-22.24,-19.5,299.48
-22.84,-19.35,299.18
-23.93,-17.85,299.28
-23.93,-17.85,299.8
-23.73,-19.5,298.88
-23.24,-18.85,298.88
