# Sim_Rocket (Up to date),
# 2840 data points written for 2 variables.,
#,
# Time (s),Altitude (ft)
# Event LAUNCH occurred at t=0 seconds,
# Event IGNITION occurred at t=0 seconds,
52.092,5664.7
52.142,5661.3
52.192,5657.9
52.242,5654.5
52.292,5651.1
52.342,5647.7
52.392,5644.3
52.442,5640.9
52.492,5637.5
52.542,5634.1
52.592,5630.7
52.642,5627.3
52.692,5623.9
52.742,5620.6
52.792,5617.2
52.842,5613.8
52.892,5610.4
52.942,5607
52.992,5603.6
53.042,5600.2
53.092,5596.8
53.142,5593.4
53.192,5590
53.242,5586.7
53.292,5583.3
53.342,5579.9
53.392,5576.5
53.442,5573.1
53.492,5569.7
53.542,5566.4
53.592,5563
53.642,5559.6
53.692,5556.2
53.742,5552.9
53.792,5549.5
53.842,5546.1
53.892,5542.8
53.942,5539.4
53.992,5536
54.042,5532.7
54.092,5529.3
54.142,5525.9
54.192,5522.6
54.242,5519.2
54.292,5515.8
54.342,5512.5
54.392,5509.1
54.442,5505.8
54.492,5502.4
54.542,5499
54.592,5495.7
54.642,5492.3
54.692,5489
54.742,5485.6
54.792,5482.3
54.842,5478.9
54.892,5475.6
54.942,5472.2
54.992,5468.9
55.042,5465.5
55.092,5462.2
55.142,5458.9
55.192,5455.5
55.242,5452.2
55.292,5448.9
55.342,5445.5
55.392,5442.2
55.442,5438.9
55.492,5435.5
55.542,5432.2
55.592,5428.9
55.642,5425.5
55.692,5422.2
55.742,5418.9
55.792,5415.5
55.842,5412.2
55.892,5408.9
55.942,5405.6
55.992,5402.2
56.042,5398.9
56.092,5395.6
56.142,5392.3
56.192,5388.9
56.242,5385.6
56.292,5382.3
56.342,5379
56.392,5375.6
56.442,5372.3
56.492,5369
56.542,5365.7
56.592,5362.3
56.642,5359
56.692,5355.7
56.742,5352.4
56.792,5349.1
56.842,5345.7
56.892,5342.4
56.942,5339.1
56.992,5335.8
57.042,5332.5
57.092,5329.2
57.142,5325.9
57.192,5322.6
57.242,5319.2
57.292,5315.9
57.342,5312.6
57.392,5309.3
57.442,5306
57.492,5302.7
57.542,5299.4
57.592,5296.1
57.642,5292.8
57.692,5289.5
57.742,5286.3
57.792,5283
57.842,5279.7
57.892,5276.4
57.942,5273.1
57.992,5269.8
58.042,5266.5
58.092,5263.3
58.142,5260
58.192,5256.7
58.242,5253.4
58.292,5250.1
58.342,5246.9
58.392,5243.6
58.442,5240.3
58.492,5237
58.542,5233.8
58.592,5230.5
58.642,5227.2
58.692,5224
58.742,5220.7
58.792,5217.4
58.842,5214.2
58.892,5210.9
58.942,5207.6
58.992,5204.3
59.042,5201.1
59.092,5197.8
59.142,5194.5
59.192,5191.3
59.242,5188
59.292,5184.7
59.342,5181.5
59.392,5178.2
59.442,5174.9
59.492,5171.7
59.542,5168.4
59.592,5165.1
59.642,5161.9
59.692,5158.6
59.742,5155.3
59.792,5152.1
59.842,5148.8
59.892,5145.6
59.942,5142.3
59.992,5139
60.042,5135.8
60.092,5132.5
60.142,5129.3
60.192,5126
60.242,5122.8
60.292,5119.6
60.342,5116.3
60.392,5113.1
60.442,5109.8
60.492,5106.6
60.542,5103.4
60.592,5100.1
60.642,5096.9
60.692,5093.6
60.742,5090.4
60.792,5087.2
60.842,5083.9
60.892,5080.7
60.942,5077.5
60.992,5074.2
61.042,5071
61.092,5067.8
61.142,5064.5
61.192,5061.3
61.242,5058.1
61.292,5054.8
61.342,5051.6
61.392,5048.4
61.442,5045.1
61.492,5041.9
61.542,5038.7
61.592,5035.4
61.642,5032.2
61.692,5029
61.742,5025.7
61.792,5022.5
61.842,5019.3
61.892,5016
61.942,5012.8
61.992,5009.5
62.042,5006.3
62.092,5003.1
62.142,4999.8
62.192,4996.6
62.242,4993.3
62.292,4990.1
62.342,4986.8
62.392,4983.6
62.442,4980.3
62.492,4977.1
62.542,4973.8
62.592,4970.6
62.642,4967.3
62.692,4964
62.742,4960.8
62.792,4957.5
62.842,4954.2
62.892,4951
62.942,4947.7
62.992,4944.4
63.042,4941.1
63.092,4937.9
63.142,4934.6
63.192,4931.3
63.242,4928
63.292,4924.8
63.342,4921.5
63.392,4918.2
63.442,4914.9
63.492,4911.6
63.542,4908.3
63.592,4905.1
63.642,4901.8
63.692,4898.5
63.742,4895.2
63.792,4891.9
63.842,4888.6
63.892,4885.4
63.942,4882.1
63.992,4878.8
64.042,4875.5
64.092,4872.2
64.142,4869
64.192,4865.7
64.242,4862.4
64.292,4859.1
64.342,4855.9
64.392,4852.6
64.442,4849.3
64.492,4846.1
64.542,4842.8
64.592,4839.5
64.642,4836.2
64.692,4833
64.742,4829.7
64.792,4826.4
64.842,4823.2
64.892,4819.9
64.942,4816.6
64.992,4813.4
65.042,4810.1
65.092,4806.8
65.142,4803.6
65.192,4800.3
65.242,4797
65.292,4793.7
65.342,4790.5
65.392,4787.2
65.442,4783.9
65.492,4780.6
65.542,4777.4
65.592,4774.1
65.642,4770.8
65.692,4767.5
65.742,4764.3
65.792,4761
65.842,4757.7
65.892,4754.4
65.942,4751.2
65.992,4747.9
66.042,4744.6
66.092,4741.3
66.142,4738
66.192,4734.7
66.242,4731.5
66.292,4728.2
66.342,4724.9
66.392,4721.6
66.442,4718.4
66.492,4715.1
66.542,4711.8
66.592,4708.5
66.642,4705.3
66.692,4702
66.742,4698.7
66.792,4695.4
66.842,4692.2
66.892,4688.9
66.942,4685.6
66.992,4682.4
67.042,4679.1
67.092,4675.9
67.142,4672.6
67.192,4669.4
67.242,4666.1
67.292,4662.8
67.342,4659.6
67.392,4656.3
67.442,4653.1
67.492,4649.8
67.542,4646.6
67.592,4643.3
67.642,4640.1
67.692,4636.8
67.742,4633.6
67.792,4630.4
67.842,4627.1
67.892,4623.9
67.942,4620.6
67.992,4617.4
68.042,4614.1
68.092,4610.9
68.142,4607.6
68.192,4604.4
68.242,4601.1
68.292,4597.9
68.342,4594.6
68.392,4591.4
68.442,4588.1
68.492,4584.9
68.542,4581.6
68.592,4578.4
68.642,4575.1
68.692,4571.9
68.742,4568.6
68.792,4565.4
68.842,4562.1
68.892,4558.9
68.942,4555.6
68.992,4552.3
69.042,4549.1
69.092,4545.8
69.142,4542.6
69.192,4539.3
69.242,4536.1
69.292,4532.8
69.342,4529.6
69.392,4526.3
69.442,4523.1
69.492,4519.8
69.542,4516.5
69.592,4513.3
69.642,4510
69.692,4506.8
69.742,4503.5
69.792,4500.3
69.842,4497
69.892,4493.8
69.942,4490.5
69.992,4487.3
70.042,4484.1
70.092,4480.8
70.142,4477.6
70.192,4474.3
70.242,4471.1
70.292,4467.8
70.342,4464.6
70.392,4461.3
70.442,4458.1
70.492,4454.8
70.542,4451.6
70.592,4448.4
70.642,4445.1
70.692,4441.9
70.742,4438.6
70.792,4435.4
70.842,4432.1
70.892,4428.9
70.942,4425.6
70.992,4422.4
71.042,4419.1
71.092,4415.9
71.142,4412.6
71.192,4409.4
71.242,4406.1
71.292,4402.9
71.342,4399.6
71.392,4396.4
71.442,4393.1
71.492,4389.8
71.542,4386.6
71.592,4383.3
71.642,4380
71.692,4376.8
71.742,4373.5
71.792,4370.2
71.842,4367
71.892,4363.7
71.942,4360.4
71.992,4357.2
72.042,4353.9
72.092,4350.6
72.142,4347.3
72.192,4344.1
72.242,4340.8
72.292,4337.5
72.342,4334.2
72.392,4331
72.442,4327.7
72.492,4324.4
72.542,4321.1
72.592,4317.9
72.642,4314.6
72.692,4311.3
72.742,4308.1
72.792,4304.8
72.842,4301.6
72.892,4298.3
72.942,4295
72.992,4291.8
73.042,4288.5
73.092,4285.3
73.142,4282
73.192,4278.8
73.242,4275.5
73.292,4272.3
73.342,4269.1
73.392,4265.8
73.442,4262.6
73.492,4259.4
73.542,4256.1
73.592,4252.9
73.642,4249.7
73.692,4246.4
73.742,4243.2
73.792,4240
73.842,4236.8
73.892,4233.5
73.942,4230.3
73.992,4227.1
74.042,4223.8
74.092,4220.6
74.142,4217.4
74.192,4214.2
74.242,4210.9
74.292,4207.7
74.342,4204.5
74.392,4201.2
74.442,4198
74.492,4194.8
74.542,4191.5
74.592,4188.3
74.642,4185.1
74.692,4181.8
74.742,4178.6
74.792,4175.3
74.842,4172.1
74.892,4168.8
74.942,4165.6
74.992,4162.3
75.042,4159.1
75.092,4155.8
75.142,4152.6
75.192,4149.3
75.242,4146.1
75.292,4142.8
75.342,4139.6
75.392,4136.3
75.442,4133
75.492,4129.8
75.542,4126.5
75.592,4123.2
75.642,4120
75.692,4116.7
75.742,4113.4
75.792,4110.2
75.842,4106.9
75.892,4103.7
75.942,4100.4
75.992,4097.1
76.042,4093.9
76.092,4090.6
76.142,4087.4
76.192,4084.1
76.242,4080.8
76.292,4077.6
76.342,4074.3
76.392,4071.1
