5.8227,1158.4,85.515,-36.627,0.30359,21.28,0,0.82247,0.44432
5.8727,1162.6,83.687,-36.48,0.52473,21.28,0,0.78775,0.44426
5.9227,1166.8,81.867,-36.264,0.35567,21.28,0,0.75436,0.44421
5.9727,1170.8,80.06,-36.067,0.25815,21.28,0,0.72183,0.44415
6.0227,1174.8,78.26,-35.93,0.47532,21.28,0,0.68957,0.4441
6.0727,1178.6,76.468,-35.747,0.40557,21.28,0,0.65855,0.44404
6.1227,1182.4,74.685,-35.552,0.22416,21.28,0,0.62859,0.44399
6.1727,1186.1,72.912,-35.371,0.084251,21.28,0,0.59946,0.44394
6.2227,1189.7,71.148,-35.19,0.10216,21.28,0,0.57138,0.4439
6.2727,1193.2,69.393,-35.017,0.28567,21.28,0,0.54422,0.44385
6.3227,1196.6,67.646,-34.868,0.32877,21.28,0,0.51741,0.44381
6.3727,1200,65.906,-34.732,0.29451,21.28,0,0.49114,0.44376
6.4227,1203.2,64.173,-34.586,0.38851,21.28,0,0.46611,0.44372
6.4727,1206.4,62.448,-34.42,0.72084,21.28,0,0.44286,0.44368
6.5227,1209.5,60.731,-34.26,1.0624,21.28,0,0.42067,0.44364
6.5727,1212.5,59.022,-34.097,1.5044,21.28,0,0.40001,0.4436
6.6227,1215.4,57.321,-33.946,1.8868,21.28,0,0.38002,0.44357
6.6727,1218.2,55.627,-33.836,1.8865,21.28,0,0.35842,0.44353
6.7227,1220.9,53.937,-33.75,1.6459,21.28,0,0.33624,0.44349
6.7727,1223.6,52.252,-33.664,1.4422,21.28,0,0.31521,0.44346
6.8227,1226.2,50.571,-33.588,1.1584,21.28,0,0.29474,0.44343
6.8727,1228.7,48.893,-33.517,0.84005,21.28,0,0.27506,0.44339
6.9227,1231.1,47.22,-33.399,1.1231,21.28,0,0.25819,0.44336
6.9727,1233.4,45.553,-33.282,1.4566,21.28,0,0.24222,0.44334
7.0227,1235.6,43.891,-33.171,1.7873,21.28,0,0.22693,0.44331
7.0727,1237.8,42.235,-33.084,1.8555,21.28,0,0.21119,0.44328
7.1227,1239.8,40.583,-33.003,1.9069,21.28,0,0.19599,0.44326
7.1727,1241.8,38.935,-32.929,1.9037,21.28,0,0.1812,0.44323
7.2227,1243.7,37.29,-32.856,2.0013,21.28,0,0.168,0.44492
7.2727,1245.6,35.65,-32.758,2.5359,21.28,0,0.15707,0.44731
7.3227,1247.3,34.013,-32.711,2.3793,21.28,0,0.14418,0.45007
7.3727,1249,32.379,-32.675,2.0702,21.28,0,0.13142,0.45304
7.4227,1250.5,30.746,-32.644,1.6851,21.28,0,0.11913,0.45625
7.4727,1252,29.115,-32.583,1.862,21.28,0,0.10872,0.45947
7.5227,1253.4,27.488,-32.518,2.2131,21.28,0,0.099133,0.46285
7.5727,1254.8,25.863,-32.461,2.4826,21.28,0,0.089751,0.46653
7.6227,1256,24.242,-32.392,3.1237,21.28,0,0.081595,0.47034
7.6727,1257.2,22.623,-32.326,3.8733,21.28,0,0.074041,0.47442
7.7227,1258.3,21.009,-32.257,4.8545,21.28,0,0.067327,0.47874
7.7727,1259.3,19.398,-32.177,6.2838,21.28,0,0.061883,0.48321
7.8227,1260.2,17.792,-32.085,8.2048,21.28,0,0.057648,0.48777
7.8727,1261.1,16.189,-32.017,9.8122,21.28,0,0.052458,0.49306
7.9227,1261.9,14.59,-31.949,11.697,21.28,0,0.04749,0.49878
7.9727,1262.5,12.994,-31.875,13.987,21.28,0,0.042626,0.5049
8.0227,1263.2,11.402,-31.795,16.712,21.28,0,0.037391,0.51149
8.0727,1263.7,9.8153,-31.682,20.593,21.28,0,0.032192,0.51762
8.1227,1264.1,8.2336,-31.598,25.123,21.28,0,0.026745,0.52378
8.1727,1264.5,6.6555,-31.516,30.069,21.28,0,0.021094,0.53049
8.2227,1264.8,5.0826,-31.389,36.22,21.28,0,0.015904,0.53583
8.2727,1265,3.5166,-31.282,42.736,21.28,0,0.011,0.54184
8.3227,1265.2,1.927,-31.897,49.924,21.28,0,0.006565,0.54978
8.3727,1265.2,0.33223,-31.878,58.551,21.28,0,0.0034421,0.55285
8.4227,1265.2,-1.2604,-31.829,67.239,21.28,0,0.0015696,0.54968
# Event APOGEE occurred at t=8.4727 seconds
8.4727,1265.1,-2.8506,-31.783,75.489,21.28,0,4.8003e-4,0.54654
8.5227,1264.9,-4.4385,-31.726,83.123,21.28,0,6.0982e-5,0.54202
8.5727,1264.6,-6.0229,-31.657,90.1,21.28,0,0,0.53677
8.6227,1264.3,-7.6041,-31.586,96.888,21.28,0,-7.5146e-5,0.53195
8.6727,1263.9,-9.1809,-31.467,101.92,21.28,0,-4.2619e-4,0.5249
8.7227,1263.4,-10.75,-31.312,105.92,21.28,0,-0.0011293,0.51773
8.7727,1262.8,-12.312,-31.128,109.3,21.28,0,-0.0022412,0.51101
8.8227,1262.1,-13.862,-30.901,111.91,21.28,0,-0.0036734,0.50454
8.8727,1261.4,-15.402,-30.678,115.11,21.28,0,-0.0059822,0.49935
8.9227,1260.6,-16.929,-30.406,117.59,21.28,0,-0.0086665,0.49418
8.9727,1259.7,-18.441,-30.072,119.3,21.28,0,-0.011476,0.48911
9.0227,1258.8,-19.936,-29.719,121.19,21.28,0,-0.015052,0.48465
9.0727,1257.7,-21.413,-29.319,122.83,21.28,0,-0.019046,0.48046
9.1227,1256.6,-22.867,-28.848,123.91,21.28,0,-0.022931,0.47644
9.1727,1255.4,-24.297,-28.341,125.04,21.28,0,-0.027382,0.47279
9.2227,1254.2,-25.699,-27.716,125.36,21.28,0,-0.030848,0.46921
9.2727,1252.9,-27.067,-27.014,125.49,21.28,0,-0.034086,0.46589
9.3227,1251.5,-28.4,-26.262,125.69,21.28,0,-0.037597,0.46288
9.3727,1250,-29.693,-25.492,126.11,21.28,0,-0.041761,0.46018
9.4227,1248.5,-30.95,-24.8,127.24,21.28,0,-0.048071,0.45784
9.4727,1246.9,-32.172,-24.099,128.42,21.28,0,-0.055156,0.45565
9.5227,1245.3,-33.36,-23.392,129.63,21.28,0,-0.062991,0.4536
9.5727,1243.6,-34.511,-22.612,130.53,21.28,0,-0.070312,0.45163
9.6227,1241.9,-35.619,-21.651,130.65,21.28,0,-0.074997,0.44971
9.6727,1240,-36.676,-20.735,131.01,21.28,0,-0.080672,0.44797
9.7227,1238.2,-37.696,-20.079,132.39,21.28,0,-0.091084,0.44643
9.7727,1236.3,-38.684,-19.4,133.6,21.28,0,-0.10151,0.44494
9.8227,1234.3,-39.635,-18.689,134.61,21.28,0,-0.1115,0.44352
9.8727,1232.3,-40.553,-17.978,135.53,21.28,0,-0.12179,0.44324
9.9227,1230.3,-41.434,-17.275,136.36,21.28,0,-0.13211,0.44325
9.9727,1228.2,-42.282,-16.697,137.49,21.28,0,-0.14466,0.44326
10.023,1226,-43.104,-16.201,138.75,21.28,0,-0.15874,0.44328
10.073,1223.9,-43.903,-15.778,140.11,21.28,0,-0.17427,0.44329
10.123,1221.6,-44.683,-15.382,141.44,21.28,0,-0.19046,0.4433
10.173,1219.4,-45.44,-14.813,142.2,21.28,0,-0.2028,0.44332
10.223,1217.1,-46.164,-14.261,142.9,21.28,0,-0.21495,0.44333
10.231,1216.7,-44.571,302.75,NaN,21.28,0,61.938,NaN
10.236,1216.5,-42.943,279.55,NaN,21.28,0,57.646,NaN
10.243,1216.2,-41.314,257.18,NaN,21.28,0,53.509,NaN
10.25,1215.9,-39.686,235.65,NaN,21.28,0,49.526,NaN
10.257,1215.6,-38.058,214.96,NaN,21.28,0,45.697,NaN
10.266,1215.3,-36.43,195.07,NaN,21.28,0,42.01,NaN
10.275,1215,-34.802,176,NaN,21.28,0,38.478,NaN
10.285,1214.7,-33.174,157.78,NaN,21.28,0,35.1,NaN
10.297,1214.3,-31.546,140.38,NaN,21.28,0,31.877,NaN
10.31,1213.9,-29.917,123.82,NaN,21.28,0,28.808,NaN
10.325,1213.4,-28.289,108.12,NaN,21.28,0,25.904,NaN
10.342,1213,-26.662,93.264,NaN,21.28,0,23.159,NaN
10.363,1212.4,-25.036,79.247,NaN,21.28,0,20.569,NaN
10.388,1211.8,-23.409,66.037,NaN,21.28,0,18.122,NaN
10.418,1211.1,-21.783,53.642,NaN,21.28,0,15.823,NaN
10.457,1210.3,-20.157,42.104,NaN,21.28,0,13.688,NaN
10.508,1209.3,-18.534,31.429,NaN,21.28,0,11.718,NaN
10.583,1208,-16.922,21.617,NaN,21.28,0,9.9103,NaN
10.711,1205.9,-15.305,12.6,NaN,21.28,0,8.234,NaN
